ID, MSE, PSNR, SSIM, LPIPS
0, 0.00303793,  25.17421838,  0.81539494,  0.17652303
1, 0.00250412,  26.01345085,  0.90185672,  0.08037654
2, 0.00511692,  22.90991453,  0.74901938,  0.21643329
3, 0.00420138,  23.76607885,  0.80426675,  0.15681386
4, 0.00386936,  24.12360853,  0.82612580,  0.20368108
5, 0.00248049,  26.05463230,  0.89971787,  0.10457908
6, 0.00483800,  23.15334131,  0.77681339,  0.18952379
7, 0.00306155,  25.14059110,  0.84227401,  0.13662064
8, 0.00278969,  25.54444791,  0.81811184,  0.18014432
9, 0.00251782,  25.98974460,  0.87846553,  0.12458256
AVERAGES: 0.0034, 24.787, 0.831, 0.157
