ID, MSE, PSNR, SSIM, LPIPS
0, 0.00231361,  26.35710078,  0.91038686,  0.06257779
1, 0.00249645,  26.02677173,  0.89209694,  0.08565733
2, 0.00274230,  25.61884550,  0.89747453,  0.07548381
3, 0.00209520,  26.78774200,  0.91528457,  0.07503119
4, 0.00329176,  24.82571454,  0.90032822,  0.07680627
5, 0.00238153,  26.23144175,  0.91486430,  0.06918823
6, 0.00330400,  24.80960235,  0.88540262,  0.09266670
7, 0.00210365,  26.77026561,  0.93416572,  0.04788341
8, 0.00216858,  26.63825353,  0.90228909,  0.08477937
9, 0.00232966,  26.32707436,  0.88262296,  0.13479401
AVERAGES: 0.0025, 26.039, 0.903, 0.080
